country,Country id,Date,CRISIS,CAB_Y,EXP_G,STED_R,FXR_G,REER,CRISIS_1
Thailand,2,2017Q3 [YR2017Q3],0,9.850360166,0.175893163,14.58108486,0.109310699,-2.114220158,0
Thailand,2,2017Q4 [YR2017Q4],0,9.63102707,0.179260372,14.25521446,0.180332012,-0.19106764,0
Thailand,2,2018Q1 [YR2018Q1],0,8.625454288,0.14617141,13.12364756,0.196745534,0.787167578,0
Thailand,2,2018Q2 [YR2018Q2],0,7.619881506,0.142309308,12.72921503,0.118056124,-0.090935348,0
Thailand,2,2018Q3 [YR2018Q3],0,6.614308725,0.041731581,12.75160431,0.028936862,0.7169331,1
Thailand,2,2018Q4 [YR2018Q4],0,5.608735943,-0.040015645,12.81296608,0.016193306,0.345225449,0
Thailand,2,2019Q1 [YR2019Q1],0,5.954631887,-0.05482789,12.46668892,-0.015639748,3.58541532,0
Thailand,2,2019Q2 [YR2019Q2],0,6.300527831,-0.101913831,12.2206115,0.041094468,5.271096079,0
Thailand,2,2019Q3 [YR2019Q3],0,6.646423776,-0.02108435,10.5789612,0.073980086,7.667165865,0
Thailand,2,2019Q4 [YR2019Q4],0,6.99231972,-0.058777795,10.031007,0.087910217,7.546481025,0
Thailand,2,2020Q1 [YR2020Q1],0,6.258824453,-0.224190445,10.55049481,0.062664568,1.410940599,0
Thailand,2,2020Q2 [YR2020Q2],0,5.525329185,-0.109726518,9.168376784,0.114588245,2.906422746,0
Thailand,2,2020Q3 [YR2020Q3],0,4.791833918,-0.025528913,8.519015877,0.133510788,-0.133478389,0
Thailand,2,2020Q4 [YR2020Q4],0,4.058338651,0.205233877,10.07532801,0.147252654,1.999490493,0
Thailand,2,2021Q1 [YR2021Q1],0,2.520885259,0.522101498,11.18181103,0.084145956,-0.475490904,0
Thailand,2,2021Q2 [YR2021Q2],0,0.983431867,0.361983455,11.96308575,-0.000543224,-3.944146675,0
Thailand,2,2021Q3 [YR2021Q3],0,-0.554021524,0.260734948,13.12451188,-0.044888032,-8.124253172,0
Thailand,2,2021Q4 [YR2021Q4],0,-2.091474916,0.1852475,12.65522039,-0.068367729,-8.326459497,0
Singapore,3,1996Q4 [YR1996Q4],0,14.62692179,-0.004977911,227.9261278,0.118400611,2.069807832,0
Singapore,3,1997Q1 [YR1997Q1],0,14.8626345,0.014459405,0.225970356,0.118996406,3.25870012,0
Singapore,3,1997Q2 [YR1997Q2],0,15.09834721,0.053576583,242.8416932,0.117175641,3.780201222,0
Singapore,3,1997Q3 [YR1997Q3],0,15.33405992,-0.032166088,0.113654818,0.041590151,3.732273372,0
